Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019000100,04019000100,"Census Tract 1, Pima County, Arizona",319,50,24861,17313,304,64,11625,7705,11986.619859404,1.0740626041
1400000US04019000200,04019000200,"Census Tract 2, Pima County, Arizona",1916,189,24856,7629,1860,190,32022,9431,33018.1110656202,-0.24720103
1400000US04019000300,04019000300,"Census Tract 3, Pima County, Arizona",680,86,30739,10363,686,99,25313,9114,26100.4136345026,0.177720799
1400000US04019000400,04019000400,"Census Tract 4, Pima County, Arizona",1719,97,18792,5702,1685,122,24635,5807,25401.3230310897,-0.2601960151
1400000US04019000500,04019000500,"Census Tract 5, Pima County, Arizona",1544,119,23188,4952,1439,134,16569,4195,17084.4132860615,0.3572605399
1400000US04019000600,04019000600,"Census Tract 6, Pima County, Arizona",2268,184,51667,6200,2123,166,50108,6763,51666.7137991411,5.53936640948138E-06
1400000US04019000700,04019000700,"Census Tract 7, Pima County, Arizona",2303,162,25805,2208,2300,150,27415,7921,28267.8007264998,-0.0871238888
1400000US04019000800,04019000800,"Census Tract 8, Pima County, Arizona",825,72,44250,9134,774,78,44000,13654,45368.7117259162,-0.0246582211
1400000US04019000900,04019000900,"Census Tract 9, Pima County, Arizona",1259,108,34492,7085,1351,88,28141,5626,29016.3844699774,0.1887077122
1400000US04019001000,04019001000,"Census Tract 10, Pima County, Arizona",397,38,39145,10980,392,46,35536,8296,36641.4213611854,0.0683264608
1400000US04019001100,04019001100,"Census Tract 11, Pima County, Arizona",964,45,26983,4556,924,63,25135,2351,25916.8765734296,0.0411362621
1400000US04019001200,04019001200,"Census Tract 12, Pima County, Arizona",1214,68,30441,4354,1144,74,32917,4801,33940.9519064087,-0.1031188493
1400000US04019001302,04019001302,"Census Tract 13.02, Pima County, Arizona",1177,96,13193,2511,1211,86,13814,1970,14243.7132677683,-0.0737668084
1400000US04019001303,04019001303,"Census Tract 13.03, Pima County, Arizona",1244,136,22955,6457,1293,140,18377,2343,18948.6548951628,0.211431636
1400000US04019001304,04019001304,"Census Tract 13.04, Pima County, Arizona",2244,178,14940,4348,2149,203,20953,3196,21604.7867452982,-0.3084865786
1400000US04019001400,04019001400,"Census Tract 14, Pima County, Arizona",2445,190,21599,4947,2078,195,21127,5171,21784.1993780325,-0.0085015462
1400000US04019001500,04019001500,"Census Tract 15, Pima County, Arizona",2151,176,27573,6165,2005,177,25277,3494,26063.2937794542,0.0579246136
1400000US04019001600,04019001600,"Census Tract 16, Pima County, Arizona",1795,116,50387,6158,1766,133,45833,7556,47258.7310121345,0.0661945194
1400000US04019001700,04019001700,"Census Tract 17, Pima County, Arizona",1386,110,41507,4626,1389,108,43750,6485,45110.9349547462,-0.0798904957
1400000US04019001801,04019001801,"Census Tract 18.01, Pima County, Arizona",2616,204,28874,3935,2658,198,25782,3818,26584.0028572175,0.0861419236
1400000US04019001802,04019001802,"Census Tract 18.02, Pima County, Arizona",1297,143,33947,4190,1330,170,30914,1782,31875.6444157948,0.0649823909
1400000US04019001900,04019001900,"Census Tract 19, Pima County, Arizona",1832,106,48258,12422,1796,118,45595,9037,47013.3275259806,0.0264748857
1400000US04019002000,04019002000,"Census Tract 20, Pima County, Arizona",2536,176,33380,4783,2648,139,34116,2918,35177.2493009399,-0.0510912404
1400000US04019002100,04019002100,"Census Tract 21, Pima County, Arizona",1832,104,28247,4908,1827,111,32363,2720,33369.718581496,-0.1535139881
1400000US04019002201,04019002201,"Census Tract 22.01, Pima County, Arizona",1052,120,32857,7436,1112,121,36413,11204,37545.7022744497,-0.1248798661
1400000US04019002202,04019002202,"Census Tract 22.02, Pima County, Arizona",1008,120,28084,7042,1080,96,30530,8089,31479.6992952777,-0.1078694959
1400000US04019002300,04019002300,"Census Tract 23, Pima County, Arizona",1829,167,23778,5739,1830,197,22432,2590,23129.7941235398,0.0280247145
1400000US04019002400,04019002400,"Census Tract 24, Pima County, Arizona",1830,118,24214,3035,1854,137,24563,2019,25327.0833209927,-0.0439483421
1400000US04019002501,04019002501,"Census Tract 25.01, Pima County, Arizona",1601,116,29292,7508,1441,125,29406,7068,30320.7349320975,-0.03392843
1400000US04019002503,04019002503,"Census Tract 25.03, Pima County, Arizona",1669,136,30878,3518,1561,152,31536,5901,32516.9930224657,-0.0504042001
1400000US04019002504,04019002504,"Census Tract 25.04, Pima County, Arizona",1821,179,28924,7105,1971,158,33011,3741,34037.8759723686,-0.1502407488
1400000US04019002505,04019002505,"Census Tract 25.05, Pima County, Arizona",2007,176,37488,7334,2097,161,32176,7311,33176.9015566609,0.1299427686
1400000US04019002506,04019002506,"Census Tract 25.06, Pima County, Arizona",2412,181,41061,7392,2479,128,41641,7614,42936.3301131563,-0.0436770005
1400000US04019002602,04019002602,"Census Tract 26.02, Pima County, Arizona",2061,197,30156,5769,2132,210,24958,5881,25734.3706194413,0.1718180501
1400000US04019002603,04019002603,"Census Tract 26.03, Pima County, Arizona",1282,111,18902,4357,1323,94,17843,3924,18398.0437119437,0.027391841
1400000US04019002604,04019002604,"Census Tract 26.04, Pima County, Arizona",1674,134,17375,3237,1594,156,20628,2536,21269.6769427772,-0.1831093605
1400000US04019002702,04019002702,"Census Tract 27.02, Pima County, Arizona",2653,145,36884,6847,2693,164,37088,6022,38241.6995566086,-0.0355031176
1400000US04019002703,04019002703,"Census Tract 27.03, Pima County, Arizona",1788,106,28698,5546,1685,129,31449,3447,32427.2867060986,-0.1150045867
1400000US04019002704,04019002704,"Census Tract 27.04, Pima County, Arizona",1040,93,34226,6557,1024,118,34045,7296,35104.0406979276,-0.0250125251
1400000US04019002801,04019002801,"Census Tract 28.01, Pima County, Arizona",788,114,25756,11649,818,137,19919,9280,20538.6220197392,0.2540276546
1400000US04019002802,04019002802,"Census Tract 28.02, Pima County, Arizona",1922,111,26083,2235,1848,108,29433,4248,30348.5748233839,-0.1405527228
1400000US04019002803,04019002803,"Census Tract 28.03, Pima County, Arizona",975,117,31160,3337,1006,87,29968,2471,30900.2171136876,0.0084071541
1400000US04019002901,04019002901,"Census Tract 29.01, Pima County, Arizona",2695,149,31934,7858,2506,170,30103,3022,31039.4165701194,0.0288208842
1400000US04019002904,04019002904,"Census Tract 29.04, Pima County, Arizona",1684,135,48088,10027,1769,162,43679,4093,45037.7263517339,0.0677270789
1400000US04019002905,04019002905,"Census Tract 29.05, Pima County, Arizona",2092,172,28317,6596,2200,160,31476,5878,32455.126597385,-0.1275030182
